Fecha,NDX
6/4/2020,9629.660156
6/5/2020,9824.389648
6/8/2020,9901.519531
6/9/2020,9967.169922
6/10/2020,10094.25977
6/11/2020,9588.480469
6/12/2020,9663.780273
6/15/2020,9776.889648
6/16/2020,9949.370117
6/17/2020,9982.480469
6/18/2020,10012.0498
6/19/2020,10008.63965
6/22/2020,10130.33008
6/23/2020,10209.82031
6/24/2020,10002.7002
6/25/2020,10101.83008
6/26/2020,9849.360352
6/29/2020,9961.160156
6/30/2020,10156.84961
7/1/2020,10279.25
7/2/2020,10341.88965
7/6/2020,10604.05957
7/7/2020,10524.00977
7/8/2020,10666.7002
7/9/2020,10754.58984
7/10/2020,10836.33008
7/13/2020,10602.20996
7/14/2020,10689.51953
7/15/2020,10701.67969
7/16/2020,10626.45996
7/17/2020,10645.21973
7/20/2020,10952.08008
7/21/2020,10833.07031
7/22/2020,10870.75
7/23/2020,10580.58984
7/24/2020,10483.12988
7/27/2020,10674.37988
7/28/2020,10532.5
7/29/2020,10662.98047
7/30/2020,10715.50977
7/31/2020,10905.87988
8/3/2020,11055.08008
8/4/2020,11096.54004
8/5/2020,11125.44043
8/6/2020,11267.08008
8/7/2020,11139.38965
8/10/2020,11085.16992
8/11/2020,10876.08008
8/12/2020,11157.71973
8/13/2020,11178.37012
8/14/2020,11164.4502
8/17/2020,11288.57031
8/18/2020,11399.03027
8/19/2020,11318.63965
8/20/2020,11477.0498
8/21/2020,11555.16016
8/24/2020,11626.16992
8/25/2020,11721.80957
8/26/2020,11971.94043
8/27/2020,11926.16016
8/28/2020,11995.84961
8/31/2020,12110.7002
9/1/2020,12292.86035
9/2/2020,12420.54004
9/3/2020,11771.37012
9/4/2020,11622.12988
9/8/2020,11068.25977
9/9/2020,11395.84961
9/10/2020,11154.12012
9/11/2020,11087.40039
9/14/2020,11277.75977
9/15/2020,11438.87012
9/16/2020,11247.59961
9/17/2020,11080.9502
9/18/2020,10936.98047
9/21/2020,10980.21973
9/22/2020,11186.37012
9/23/2020,10833.33008
9/24/2020,10896.46973
9/25/2020,11151.12988
9/28/2020,11364.4502
9/29/2020,11322.9502
9/30/2020,11418.05957
10/1/2020,11583.2002
10/2/2020,11255.69043
10/5/2020,11509.05957
10/6/2020,11291.26953
10/7/2020,11503.19043
10/8/2020,11550.94043
10/9/2020,11725.84961
10/12/2020,12088.11035
10/13/2020,12083.16992
10/14/2020,11985.36035
10/15/2020,11898.57031
10/16/2020,11852.16992
10/19/2020,11634.34961
10/20/2020,11677.83984
10/21/2020,11665.37012
10/22/2020,11662.91016
10/23/2020,11692.57031
10/26/2020,11504.51953
10/27/2020,11598.9502
10/28/2020,11142.75977
10/29/2020,11350.74023
10/30/2020,11052.9502
11/2/2020,11084.75977
11/3/2020,11279.91016
11/4/2020,11777.01953
11/5/2020,12078.07031
11/6/2020,12091.34961
11/9/2020,11830.38965
11/10/2020,11624.29004
11/11/2020,11892.92969
11/12/2020,11827.13965
11/13/2020,11937.83984
11/16/2020,12013.37988
11/17/2020,11977.49023
11/18/2020,11894.70996
11/19/2020,11985.42969
11/20/2020,11906.44043
11/23/2020,11905.94043
11/24/2020,12079.80957
11/25/2020,12152.21973
11/27/2020,12258.20996
11/30/2020,12268.32031
12/1/2020,12455.33008
12/2/2020,12456.41016
12/3/2020,12467.12988
12/4/2020,12528.48047
12/7/2020,12596.46973
12/8/2020,12635.71973
12/9/2020,12364.63965
12/10/2020,12401.74023
12/11/2020,12375.41016
12/14/2020,12462.20996
12/15/2020,12595.91992
12/16/2020,12668.16016
12/17/2020,12752.05957
12/18/2020,12738.17969
12/21/2020,12690.25977
12/22/2020,12717.55957
12/23/2020,12653.13965
12/24/2020,12711.00977
12/28/2020,12838.86035
12/29/2020,12843.49023
12/30/2020,12845.36035
12/31/2020,12888.28027
1/4/2021,12694.66016
1/5/2021,12802.37988
1/6/2021,12623.34961
1/7/2021,12939.57031
1/8/2021,13105.2002
1/11/2021,12902.49023
1/12/2021,12892.08984
1/13/2021,12973.62988
1/14/2021,12898.69043
1/15/2021,12803.92969
1/19/2021,12996.54004
1/20/2021,13296.4502
1/21/2021,13404.99023
1/22/2021,13366.40039
1/25/2021,13483.29004
1/26/2021,13490.19043
1/27/2021,13112.65039
1/28/2021,13201.53027
1/29/2021,12925.37988
2/1/2021,13248.90039
2/2/2021,13456.12012
2/3/2021,13402.37012
2/4/2021,13560.88965
2/5/2021,13603.95996
2/8/2021,13695.01953
2/9/2021,13687.08008
2/10/2021,13655.26953
2/11/2021,13734.34961
2/12/2021,13807.7002
2/16/2021,13773.76953
2/17/2021,13699.70996
2/18/2021,13637.50977
2/19/2021,13580.78027
2/22/2021,13223.74023
2/23/2021,13194.70996
2/24/2021,13302.19043
2/25/2021,12828.30957
2/26/2021,12909.44043
3/1/2021,13282.9502
3/2/2021,13059.9502
3/3/2021,12683.33008
3/4/2021,12464
3/5/2021,12668.50977
3/8/2021,12299.08008
3/9/2021,12794.49023
3/10/2021,12752.07031
3/11/2021,13052.90039
3/12/2021,12937.29004
3/15/2021,13082.54004
3/16/2021,13152.28027
3/17/2021,13202.37988
3/18/2021,12789.13965
3/19/2021,12866.99023
3/22/2021,13086.50977
3/23/2021,13017.79004
3/24/2021,12798.87988
3/25/2021,12780.50977
3/26/2021,12979.12012
3/29/2021,12965.74023
3/30/2021,12896.53027
3/31/2021,13091.44043
4/1/2021,13329.51953
4/5/2021,13598.16016
4/6/2021,13578.45996
4/7/2021,13616.7002
4/8/2021,13758.50977
4/9/2021,13845.05957
4/12/2021,13819.34961
4/13/2021,13986.49023
4/14/2021,13803.91016
4/15/2021,14026.19043
4/16/2021,14041.91016
4/19/2021,13907.66992
4/20/2021,13809.2998
4/21/2021,13935.15039
4/22/2021,13762.36035
4/23/2021,13941.44043
4/26/2021,14026.16016
4/27/2021,13960.28027
4/28/2021,13901.62012
4/29/2021,13970.2002
4/30/2021,13860.75977
5/3/2021,13799.71973
5/4/2021,13544.66992
5/5/2021,13503.37012
5/6/2021,13613.73047
5/7/2021,13719.62988
5/10/2021,13359.08008
5/11/2021,13351.26953
5/12/2021,13001.62988
5/13/2021,13109.15039
5/14/2021,13393.12012
5/17/2021,13312.91016
5/18/2021,13217.67969
5/19/2021,13237.91016
5/20/2021,13494.08984
5/21/2021,13411.74023
5/24/2021,13641.75
5/25/2021,13657.73047
5/26/2021,13702.74023
5/27/2021,13657.84961
5/28/2021,13686.50977
6/1/2021,13654.58984
6/2/2021,13675.79004
6/3/2021,13529.67969
6/4/2021,13770.76953
6/7/2021,13802.88965
6/8/2021,13810.86035
6/9/2021,13814.94043
6/10/2021,13960.34961
6/11/2021,13998.2998
6/14/2021,14128.2002
6/15/2021,14030.41016
6/16/2021,13983.00977
6/17/2021,14163.80957
6/18/2021,14049.58008
6/21/2021,14137.23047
6/22/2021,14270.41992
6/23/2021,14274.24023
6/24/2021,14365.95996
6/25/2021,14345.17969
6/28/2021,14524.98047
6/29/2021,14572.75
6/30/2021,14554.7998
7/1/2021,14560.0498
7/2/2021,14727.62988
7/6/2021,14786.36035
7/7/2021,14810.54004
7/8/2021,14722.13965
7/9/2021,14826.08984
7/12/2021,14877.88965
7/13/2021,14874.54004
7/14/2021,14900.44043
7/15/2021,14794.69043
7/16/2021,14681.37988
7/19/2021,14549.08984
7/20/2021,14728.20996
7/21/2021,14842.62988
7/22/2021,14940.16992
7/23/2021,15111.79004
7/26/2021,15125.9502
7/27/2021,14956.96973
7/28/2021,15018.09961
7/29/2021,15048.36035
7/30/2021,14959.90039
8/2/2021,14963.62012
8/3/2021,15061.41992
8/4/2021,15083.38965
8/5/2021,15181.63965
8/6/2021,15109.36035
8/9/2021,15133.11035
8/10/2021,15053.58008
8/11/2021,15027.75977
8/12/2021,15088.98047
8/13/2021,15136.67969
8/16/2021,15140.76953
8/17/2021,15002.83008
8/18/2021,14857.91992
8/19/2021,14933.94043
8/20/2021,15092.57031
8/23/2021,15312.82031
8/24/2021,15357.67969
8/25/2021,15368.91992
8/26/2021,15278.51953
8/27/2021,15432.9502
8/30/2021,15605.08984
8/31/2021,15582.50977
9/1/2021,15611.57031
9/2/2021,15604.25
9/3/2021,15652.86035
9/7/2021,15675.75977
9/8/2021,15620.84961
9/9/2021,15561.0498
9/10/2021,15440.75
9/13/2021,15434.5
9/14/2021,15382.90039
9/15/2021,15503.53027
9/16/2021,15515.91016
9/17/2021,15333.46973
9/20/2021,15012.19043
9/21/2021,15027.76953
9/22/2021,15176.50977
9/23/2021,15316.58008
9/24/2021,15329.67969
9/27/2021,15204.82031
9/28/2021,14770.2998
9/29/2021,14752.88965
9/30/2021,14689.62012
10/1/2021,14791.87012
10/4/2021,14472.12012
10/5/2021,14674.15039
10/6/2021,14766.75
10/7/2021,14897.12988
10/8/2021,14820.75
10/11/2021,14713.73047
10/12/2021,14662.11035
10/13/2021,14774.59961
10/14/2021,15052.41992
10/15/2021,15146.91992
10/18/2021,15300.88965
10/19/2021,15410.71973
10/20/2021,15388.70996
10/21/2021,15489.58984
10/22/2021,15355.07031
10/25/2021,15514.19043
10/26/2021,15559.49023
10/27/2021,15598.38965
10/28/2021,15778.16016
10/29/2021,15850.46973
11/1/2021,15905.28027
11/2/2021,15972.49023
11/3/2021,16144.5
11/4/2021,16346.24023
11/5/2021,16359.37988
11/8/2021,16336.03027
11/9/2021,16219.94043
11/10/2021,15985.57031
11/11/2021,16032.46973
11/12/2021,16199.88965
11/15/2021,16189.12012
11/16/2021,16309.76953
11/17/2021,16308.07031
11/18/2021,16482.9707
11/19/2021,16573.33984
11/22/2021,16380.98047
11/23/2021,16306.71973
11/24/2021,16367.80957
11/26/2021,16025.58008
11/29/2021,16399.24023
11/30/2021,16135.91992
12/1/2021,15877.71973
12/2/2021,15990.75977
12/3/2021,15712.04004
12/6/2021,15846.16016
12/7/2021,16325.66016
12/8/2021,16394.33984
12/9/2021,16149.57031
12/10/2021,16331.98047
12/13/2021,16082.5498
12/14/2021,15914.90039
12/15/2021,16289.58984
12/16/2021,15863.94043
12/17/2021,15801.45996
12/20/2021,15627.63965
12/21/2021,15986.28027
12/22/2021,16180.13965
12/23/2021,16308.20996
12/27/2021,16567.5
12/28/2021,16488.66016
12/29/2021,16491.00977
12/30/2021,16429.09961
12/31/2021,16320.08008
1/3/2022,16501.76953
1/4/2022,16279.73047
1/5/2022,15771.78027
1/6/2022,15765.36035
1/7/2022,15592.19043
1/10/2022,15614.42969
1/11/2022,15844.12012
1/12/2022,15905.09961
1/13/2022,15495.62012
1/14/2022,15611.58984
1/18/2022,15210.75977
1/19/2022,15047.83984
1/20/2022,14846.45996
1/21/2022,14438.40039
1/24/2022,14509.58008
1/25/2022,14149.12012
1/26/2022,14172.75977
1/27/2022,14003.11035
